,country_name,casted,gender,education,employement,closeness_party,turnout,women_in_parliament
447,Australia,95,1,8,1,2,92.15,999.0
448,Australia,95,1,7,1,9,92.53,999.0
449,Australia,95,2,4,7,2,92.26,999.0
450,Australia,95,2,5,3,9,999.0,999.0
451,Australia,95,2,7,2,2,92.26,999.0
452,Australia,95,2,4,2,9,999.0,999.0
453,Australia,95,2,7,1,3,94.13,999.0
454,Australia,95,2,5,2,1,92.85,999.0
455,Australia,95,1,7,7,2,83.08,999.0
456,Australia,95,2,7,1,2,92.62,999.0
457,Australia,95,2,8,1,9,88.57,999.0
458,Australia,95,2,7,2,2,93.91,999.0
459,Australia,95,2,8,1,2,91.6,999.0
460,Australia,95,2,7,2,2,91.6,999.0
461,Australia,95,2,8,2,2,93.04,999.0
462,Australia,95,1,5,7,9,93.65,999.0
463,Australia,95,1,8,9,1,89.21,999.0
464,Australia,95,1,8,1,2,94.82,999.0
465,Australia,95,1,4,1,2,86.3,999.0
466,Australia,95,2,5,1,3,999.0,999.0
467,Australia,95,2,4,8,2,92.26,999.0
468,Australia,95,1,8,1,3,91.05,999.0
469,Australia,95,1,8,1,2,92.87,999.0
470,Australia,95,2,5,5,9,95.09,999.0
471,Australia,95,2,8,7,1,93.99,999.0
472,Australia,95,1,7,7,2,94.53,999.0
473,Australia,95,1,8,1,2,93.12,999.0
474,Australia,95,1,6,2,2,93.78,999.0
475,Australia,95,2,4,4,2,93.17,999.0
476,Australia,95,2,5,1,3,92.12,999.0
477,Australia,95,2,4,7,2,999.0,999.0
478,Australia,95,2,7,1,2,92.53,999.0
479,Australia,95,2,4,3,2,90.92,999.0
480,Australia,95,2,8,1,9,999.0,999.0
481,Australia,95,2,4,7,2,92.46,999.0
482,Australia,95,1,7,1,2,89.92,999.0
483,Australia,95,1,8,7,2,92.41,999.0
484,Australia,95,1,7,2,2,92.16,999.0
485,Australia,95,2,7,7,2,92.09,999.0
486,Australia,95,1,4,1,9,93.61,999.0
487,Australia,95,1,7,3,9,90.51,999.0
488,Australia,95,2,8,2,9,93.61,999.0
489,Australia,95,2,7,1,9,91.33,999.0
490,Australia,95,2,3,7,9,90.54,999.0
491,Australia,95,1,6,1,2,92.58,999.0
492,Australia,95,2,7,1,9,94.82,999.0
493,Australia,95,1,5,1,2,94.82,999.0
494,Australia,95,1,8,7,2,93.38,999.0
495,Australia,95,2,7,1,9,92.83,999.0
496,Australia,95,1,7,1,9,999.0,999.0
